,Current,Voltage
,-2.672E-04,-0.115
,-2.671E-04,-0.117
,-2.67E-04,-0.115
,-2.669E-04,-0.115
,-2.668E-04,-0.113
,-2.667E-04,-0.114
,-2.666E-04,-0.114
,-2.665E-04,-0.114
,-2.664E-04,-0.117
,-2.663E-04,-0.114
,-2.662E-04,-0.112
,-2.661E-04,-0.115
,-2.66E-04,-0.114
,-2.659E-04,-0.113
,-2.658E-04,-0.115
,-2.657E-04,-0.11
,-2.656E-04,-0.113
,-2.655E-04,-0.11
,-2.654E-04,-0.113
,-2.653E-04,-0.117
,-2.652E-04,-0.113
,-2.651E-04,-0.111
,-2.65E-04,-0.115
,-2.649E-04,-0.116
,-2.648E-04,-0.114
,-2.647E-04,-0.114
,-2.646E-04,-0.114
,-2.645E-04,-0.114
,-2.644E-04,-0.112
,-2.643E-04,-0.113
,-2.642E-04,-0.114
,-2.641E-04,-0.113
,-2.64E-04,-0.114
,-2.639E-04,-0.115
,-2.638E-04,-0.114
,-2.637E-04,-0.115
,-2.636E-04,-0.116
,-2.635E-04,-0.114
,-2.634E-04,-0.116
,-2.633E-04,-0.112
,-2.632E-04,-0.114
,-2.631E-04,-0.113
,-2.63E-04,-0.113
,-2.629E-04,-0.118
,-2.628E-04,-0.114
,-2.627E-04,-0.115
,-2.626E-04,-0.113
,-2.625E-04,-0.114
,-2.624E-04,-0.114
,-2.623E-04,-0.113
,-2.622E-04,-0.111
,-2.621E-04,-0.11
,-2.62E-04,-0.117
,-2.619E-04,-0.115
,-2.618E-04,-0.114
,-2.617E-04,-0.114
,-2.616E-04,-0.115
,-2.615E-04,-0.116
,-2.614E-04,-0.118
,-2.613E-04,-0.114
,-2.612E-04,-0.115
,-2.611E-04,-0.116
,-2.61E-04,-0.117
,-2.609E-04,-0.115
,-2.608E-04,-0.117
,-2.607E-04,-0.117
,-2.606E-04,-0.117
,-2.605E-04,-0.117
,-2.604E-04,-0.117
,-2.603E-04,-0.111
,-2.602E-04,-0.114
,-2.601E-04,-0.114
,-2.6E-04,-0.113
,-2.599E-04,-0.115
,-2.598E-04,-0.115
,-2.597E-04,-0.111
,-2.596E-04,-0.115
,-2.595E-04,-0.116
,-2.594E-04,-0.117
,-2.593E-04,-0.116
,-2.592E-04,-0.114
,-2.591E-04,-0.115
,-2.59E-04,-0.116
,-2.589E-04,-0.112
,-2.588E-04,-0.116
,-2.587E-04,-0.116
,-2.586E-04,-0.116
,-2.585E-04,-0.114
,-2.584E-04,-0.117
,-2.583E-04,-0.113
,-2.582E-04,-0.114
,-2.581E-04,-0.117
,-2.58E-04,-0.114
,-2.579E-04,-0.115
,-2.578E-04,-0.118
,-2.577E-04,-0.115
,-2.576E-04,-0.115
,-2.575E-04,-0.117
,-2.574E-04,-0.114
,-2.573E-04,-0.117
,-2.572E-04,-0.119
,-2.571E-04,-0.114
,-2.57E-04,-0.115
,-2.569E-04,-0.116
,-2.568E-04,-0.117
,-2.567E-04,-0.116
,-2.566E-04,-0.117
,-2.565E-04,-0.115
,-2.564E-04,-0.116
,-2.563E-04,-0.115
,-2.562E-04,-0.116
,-2.561E-04,-0.116
,-2.56E-04,-0.117
,-2.559E-04,-0.117
,-2.558E-04,-0.116
,-2.557E-04,-0.115
,-2.556E-04,-0.114
,-2.555E-04,-0.111
,-2.554E-04,-0.115
,-2.553E-04,-0.117
